doc_id,title,department,year,region,text
D019,"Document Title D019 (marketing)",marketing,2024,europe,"This is the body text of document D019 in department marketing for region europe and year 2024."
D020,"Document Title D020 (sales)",sales,2021,latin_america,"This is the body text of document D020 in department sales for region latin_america and year 2021."
D021,"Document Title D021 (marketing)",marketing,2021,north_america,"This is the body text of document D021 in department marketing for region north_america and year 2021."
D022,"Document Title D022 (sales)",sales,2024,europe,"This is the body text of document D022 in department sales for region europe and year 2024."
D023,"Document Title D023 (marketing)",marketing,2023,latin_america,"This is the body text of document D023 in department marketing for region latin_america and year 2023."
D024,"Document Title D024 (sales)",sales,2026,north_america,"This is the body text of document D024 in department sales for region north_america and year 2026."
D025,"Document Title D025 (engineering)",engineering,2023,asia_pacific,"This is the body text of document D025 in department engineering for region asia_pacific and year 2023."
D026,"Document Title D026 (marketing)",marketing,2020,latin_america,"This is the body text of document D026 in department marketing for region latin_america and year 2020."
D027,"Document Title D027 (engineering)",engineering,2026,asia_pacific,"This is the body text of document D027 in department engineering for region asia_pacific and year 2026."
D028,"Document Title D028 (legal)",legal,2022,north_america,"This is the body text of document D028 in department legal for region north_america and year 2022."
D029,"Document Title D029 (legal)",legal,2020,north_america,"This is the body text of document D029 in department legal for region north_america and year 2020."
D030,"Document Title D030 (finance)",finance,2020,latin_america,"This is the body text of document D030 in department finance for region latin_america and year 2020."
D031,"Document Title D031 (hr)",hr,2021,latin_america,"This is the body text of document D031 in department hr for region latin_america and year 2021."
D032,"Document Title D032 (marketing)",marketing,2023,asia_pacific,"This is the body text of document D032 in department marketing for region asia_pacific and year 2023."
D033,"Document Title D033 (legal)",legal,2020,latin_america,"This is the body text of document D033 in department legal for region latin_america and year 2020."
D034,"Document Title D034 (sales)",sales,2020,latin_america,"This is the body text of document D034 in department sales for region latin_america and year 2020."
D035,"Document Title D035 (hr)",hr,2022,north_america,"This is the body text of document D035 in department hr for region north_america and year 2022."
D036,"Document Title D036 (finance)",finance,2021,north_america,"This is the body text of document D036 in department finance for region north_america and year 2021."
D037,"Document Title D037 (engineering)",engineering,2025,north_america,"This is the body text of document D037 in department engineering for region north_america and year 2025."
D038,"Document Title D038 (legal)",legal,2025,north_america,"This is the body text of document D038 in department legal for region north_america and year 2025."
D039,"Document Title D039 (sales)",sales,2023,north_america,"This is the body text of document D039 in department sales for region north_america and year 2023."
D040,"Document Title D040 (hr)",hr,2022,europe,"This is the body text of document D040 in department hr for region europe and year 2022."
D041,"Document Title D041 (hr)",hr,2023,europe,"This is the body text of document D041 in department hr for region europe and year 2023."
D042,"Document Title D042 (engineering)",engineering,2021,north_america,"This is the body text of document D042 in department engineering for region north_america and year 2021."
D043,"Document Title D043 (marketing)",marketing,2024,asia_pacific,"This is the body text of document D043 in department marketing for region asia_pacific and year 2024."
D044,"Document Title D044 (hr)",hr,2020,europe,"This is the body text of document D044 in department hr for region europe and year 2020."
D045,"Document Title D045 (legal)",legal,2022,north_america,"This is the body text of document D045 in department legal for region north_america and year 2022."
D046,"Document Title D046 (sales)",sales,2024,north_america,"This is the body text of document D046 in department sales for region north_america and year 2024."
D047,"Document Title D047 (sales)",sales,2022,latin_america,"This is the body text of document D047 in department sales for region latin_america and year 2022."
D048,"Document Title D048 (marketing)",marketing,2022,north_america,"This is the body text of document D048 in department marketing for region north_america and year 2022."
D049,"Document Title D049 (sales)",sales,2025,europe,"This is the body text of document D049 in department sales for region europe and year 2025."
D050,"Document Title D050 (legal)",legal,2023,latin_america,"This is the body text of document D050 in department legal for region latin_america and year 2023."
D051,"Document Title D051 (marketing)",marketing,2020,asia_pacific,"This is the body text of document D051 in department marketing for region asia_pacific and year 2020."
D052,"Document Title D052 (sales)",sales,2021,latin_america,"This is the body text of document D052 in department sales for region latin_america and year 2021."
D053,"Document Title D053 (finance)",finance,2021,latin_america,"This is the body text of document D053 in department finance for region latin_america and year 2021."
D054,"Document Title D054 (finance)",finance,2026,europe,"This is the body text of document D054 in department finance for region europe and year 2026."
D055,"Document Title D055 (sales)",sales,2024,latin_america,"This is the body text of document D055 in department sales for region latin_america and year 2024."
D056,"Document Title D056 (finance)",finance,2021,latin_america,"This is the body text of document D056 in department finance for region latin_america and year 2021."
D057,"Document Title D057 (engineering)",engineering,2025,europe,"This is the body text of document D057 in department engineering for region europe and year 2025."
D058,"Document Title D058 (hr)",hr,2021,asia_pacific,"This is the body text of document D058 in department hr for region asia_pacific and year 2021."
D059,"Document Title D059 (engineering)",engineering,2020,north_america,"This is the body text of document D059 in department engineering for region north_america and year 2020."
D060,"Document Title D060 (marketing)",marketing,2025,north_america,"This is the body text of document D060 in department marketing for region north_america and year 2025."
D061,"Document Title D061 (marketing)",marketing,2020,europe,"This is the body text of document D061 in department marketing for region europe and year 2020."
D062,"Document Title D062 (marketing)",marketing,2026,europe,"This is the body text of document D062 in department marketing for region europe and year 2026."
D063,"Document Title D063 (marketing)",marketing,2020,asia_pacific,"This is the body text of document D063 in department marketing for region asia_pacific and year 2020."
D064,"Document Title D064 (legal)",legal,2025,north_america,"This is the body text of document D064 in department legal for region north_america and year 2025."
D065,"Document Title D065 (hr)",hr,2026,europe,"This is the body text of document D065 in department hr for region europe and year 2026."
D066,"Document Title D066 (engineering)",engineering,2026,latin_america,"This is the body text of document D066 in department engineering for region latin_america and year 2026."
D067,"Document Title D067 (engineering)",engineering,2024,asia_pacific,"This is the body text of document D067 in department engineering for region asia_pacific and year 2024."
D068,"Document Title D068 (legal)",legal,2026,latin_america,"This is the body text of document D068 in department legal for region latin_america and year 2026."
D069,"Document Title D069 (marketing)",marketing,2022,north_america,"This is the body text of document D069 in department marketing for region north_america and year 2022."
D070,"Document Title D070 (finance)",finance,2026,asia_pacific,"This is the body text of document D070 in department finance for region asia_pacific and year 2026."
D071,"Document Title D071 (sales)",sales,2022,latin_america,"This is the body text of document D071 in department sales for region latin_america and year 2022."
D072,"Document Title D072 (marketing)",marketing,2020,latin_america,"This is the body text of document D072 in department marketing for region latin_america and year 2020."
D073,"Document Title D073 (marketing)",marketing,2023,europe,"This is the body text of document D073 in department marketing for region europe and year 2023."
D074,"Document Title D074 (engineering)",engineering,2025,latin_america,"This is the body text of document D074 in department engineering for region latin_america and year 2025."
D075,"Document Title D075 (sales)",sales,2024,latin_america,"This is the body text of document D075 in department sales for region latin_america and year 2024."
D076,"Document Title D076 (sales)",sales,2021,north_america,"This is the body text of document D076 in department sales for region north_america and year 2021."
D077,"Document Title D077 (engineering)",engineering,2026,north_america,"This is the body text of document D077 in department engineering for region north_america and year 2026."
D078,"Document Title D078 (hr)",hr,2025,latin_america,"This is the body text of document D078 in department hr for region latin_america and year 2025."
D079,"Document Title D079 (legal)",legal,2024,europe,"This is the body text of document D079 in department legal for region europe and year 2024."
D080,"Document Title D080 (hr)",hr,2021,asia_pacific,"This is the body text of document D080 in department hr for region asia_pacific and year 2021."
D081,"Document Title D081 (legal)",legal,2021,north_america,"This is the body text of document D081 in department legal for region north_america and year 2021."
D082,"Document Title D082 (finance)",finance,2020,latin_america,"This is the body text of document D082 in department finance for region latin_america and year 2020."
D083,"Document Title D083 (hr)",hr,2021,asia_pacific,"This is the body text of document D083 in department hr for region asia_pacific and year 2021."
D084,"Document Title D084 (engineering)",engineering,2025,latin_america,"This is the body text of document D084 in department engineering for region latin_america and year 2025."
D085,"Document Title D085 (engineering)",engineering,2023,europe,"This is the body text of document D085 in department engineering for region europe and year 2023."
D086,"Document Title D086 (finance)",finance,2024,asia_pacific,"This is the body text of document D086 in department finance for region asia_pacific and year 2024."
D087,"Document Title D087 (marketing)",marketing,2023,north_america,"This is the body text of document D087 in department marketing for region north_america and year 2023."
D088,"Document Title D088 (finance)",finance,2020,north_america,"This is the body text of document D088 in department finance for region north_america and year 2020."
D089,"Document Title D089 (sales)",sales,2025,latin_america,"This is the body text of document D089 in department sales for region latin_america and year 2025."
D090,"Document Title D090 (engineering)",engineering,2026,latin_america,"This is the body text of document D090 in department engineering for region latin_america and year 2026."
D091,"Document Title D091 (finance)",finance,2020,latin_america,"This is the body text of document D091 in department finance for region latin_america and year 2020."
D092,"Document Title D092 (sales)",sales,2021,latin_america,"This is the body text of document D092 in department sales for region latin_america and year 2021."
D093,"Document Title D093 (hr)",hr,2020,latin_america,"This is the body text of document D093 in department hr for region latin_america and year 2020."
D094,"Document Title D094 (hr)",hr,2021,europe,"This is the body text of document D094 in department hr for region europe and year 2021."
D095,"Document Title D095 (sales)",sales,2021,north_america,"This is the body text of document D095 in department sales for region north_america and year 2021."
D096,"Document Title D096 (finance)",finance,2022,north_america,"This is the body text of document D096 in department finance for region north_america and year 2022."
D097,"Document Title D097 (sales)",sales,2021,north_america,"This is the body text of document D097 in department sales for region north_america and year 2021."
D098,"Document Title D098 (marketing)",marketing,2020,latin_america,"This is the body text of document D098 in department marketing for region latin_america and year 2020."
D099,"Document Title D099 (legal)",legal,2025,europe,"This is the body text of document D099 in department legal for region europe and year 2025."
D100,"Document Title D100 (hr)",hr,2024,asia_pacific,"This is the body text of document D100 in department hr for region asia_pacific and year 2024."
D101,"Document Title D101 (engineering)",engineering,2026,asia_pacific,"This is the body text of document D101 in department engineering for region asia_pacific and year 2026."
D102,"Document Title D102 (sales)",sales,2020,north_america,"This is the body text of document D102 in department sales for region north_america and year 2020."
D103,"Document Title D103 (finance)",finance,2023,europe,"This is the body text of document D103 in department finance for region europe and year 2023."
D104,"Document Title D104 (legal)",legal,2021,latin_america,"This is the body text of document D104 in department legal for region latin_america and year 2021."
D105,"Document Title D105 (hr)",hr,2022,asia_pacific,"This is the body text of document D105 in department hr for region asia_pacific and year 2022."
D106,"Document Title D106 (legal)",legal,2022,europe,"This is the body text of document D106 in department legal for region europe and year 2022."
D107,"Document Title D107 (legal)",legal,2021,asia_pacific,"This is the body text of document D107 in department legal for region asia_pacific and year 2021."
D108,"Document Title D108 (finance)",finance,2024,asia_pacific,"This is the body text of document D108 in department finance for region asia_pacific and year 2024."
D109,"Document Title D109 (legal)",legal,2022,asia_pacific,"This is the body text of document D109 in department legal for region asia_pacific and year 2022."
D110,"Document Title D110 (sales)",sales,2026,latin_america,"This is the body text of document D110 in department sales for region latin_america and year 2026."
D111,"Document Title D111 (sales)",sales,2021,europe,"This is the body text of document D111 in department sales for region europe and year 2021."
D112,"Document Title D112 (marketing)",marketing,2021,europe,"This is the body text of document D112 in department marketing for region europe and year 2021."
D113,"Document Title D113 (finance)",finance,2026,latin_america,"This is the body text of document D113 in department finance for region latin_america and year 2026."
D114,"Document Title D114 (marketing)",marketing,2023,north_america,"This is the body text of document D114 in department marketing for region north_america and year 2023."
D115,"Document Title D115 (legal)",legal,2025,europe,"This is the body text of document D115 in department legal for region europe and year 2025."
D116,"Document Title D116 (hr)",hr,2020,latin_america,"This is the body text of document D116 in department hr for region latin_america and year 2020."
D117,"Document Title D117 (engineering)",engineering,2024,europe,"This is the body text of document D117 in department engineering for region europe and year 2024."
D118,"Document Title D118 (finance)",finance,2022,north_america,"This is the body text of document D118 in department finance for region north_america and year 2022."
D119,"Document Title D119 (hr)",hr,2026,latin_america,"This is the body text of document D119 in department hr for region latin_america and year 2026."
D120,"Document Title D120 (legal)",legal,2025,europe,"This is the body text of document D120 in department legal for region europe and year 2025."
D121,"Document Title D121 (finance)",finance,2023,latin_america,"This is the body text of document D121 in department finance for region latin_america and year 2023."
D122,"Document Title D122 (engineering)",engineering,2020,north_america,"This is the body text of document D122 in department engineering for region north_america and year 2020."
D123,"Document Title D123 (legal)",legal,2020,latin_america,"This is the body text of document D123 in department legal for region latin_america and year 2020."
D124,"Document Title D124 (marketing)",marketing,2025,europe,"This is the body text of document D124 in department marketing for region europe and year 2025."
D125,"Document Title D125 (marketing)",marketing,2023,asia_pacific,"This is the body text of document D125 in department marketing for region asia_pacific and year 2023."
D126,"Document Title D126 (hr)",hr,2025,europe,"This is the body text of document D126 in department hr for region europe and year 2025."
D127,"Document Title D127 (legal)",legal,2022,latin_america,"This is the body text of document D127 in department legal for region latin_america and year 2022."
D128,"Document Title D128 (sales)",sales,2024,europe,"This is the body text of document D128 in department sales for region europe and year 2024."
D129,"Document Title D129 (finance)",finance,2025,asia_pacific,"This is the body text of document D129 in department finance for region asia_pacific and year 2025."
D130,"Document Title D130 (marketing)",marketing,2022,europe,"This is the body text of document D130 in department marketing for region europe and year 2022."
D131,"Document Title D131 (engineering)",engineering,2024,north_america,"This is the body text of document D131 in department engineering for region north_america and year 2024."
D132,"Document Title D132 (marketing)",marketing,2021,asia_pacific,"This is the body text of document D132 in department marketing for region asia_pacific and year 2021."
D133,"Document Title D133 (sales)",sales,2022,latin_america,"This is the body text of document D133 in department sales for region latin_america and year 2022."
D134,"Document Title D134 (sales)",sales,2024,latin_america,"This is the body text of document D134 in department sales for region latin_america and year 2024."
D135,"Document Title D135 (marketing)",marketing,2023,europe,"This is the body text of document D135 in department marketing for region europe and year 2023."
D136,"Document Title D136 (finance)",finance,2022,north_america,"This is the body text of document D136 in department finance for region north_america and year 2022."
D137,"Document Title D137 (sales)",sales,2020,north_america,"This is the body text of document D137 in department sales for region north_america and year 2020."
D138,"Document Title D138 (marketing)",marketing,2026,north_america,"This is the body text of document D138 in department marketing for region north_america and year 2026."
D139,"Document Title D139 (engineering)",engineering,2022,north_america,"This is the body text of document D139 in department engineering for region north_america and year 2022."
D140,"Document Title D140 (marketing)",marketing,2020,asia_pacific,"This is the body text of document D140 in department marketing for region asia_pacific and year 2020."
D141,"Document Title D141 (sales)",sales,2020,north_america,"This is the body text of document D141 in department sales for region north_america and year 2020."
D142,"Document Title D142 (legal)",legal,2024,asia_pacific,"This is the body text of document D142 in department legal for region asia_pacific and year 2024."
D143,"Document Title D143 (legal)",legal,2024,north_america,"This is the body text of document D143 in department legal for region north_america and year 2024."
D144,"Document Title D144 (marketing)",marketing,2020,asia_pacific,"This is the body text of document D144 in department marketing for region asia_pacific and year 2020."
D145,"Document Title D145 (marketing)",marketing,2021,north_america,"This is the body text of document D145 in department marketing for region north_america and year 2021."
D146,"Document Title D146 (hr)",hr,2024,latin_america,"This is the body text of document D146 in department hr for region latin_america and year 2024."
D147,"Document Title D147 (engineering)",engineering,2026,asia_pacific,"This is the body text of document D147 in department engineering for region asia_pacific and year 2026."
D148,"Document Title D148 (legal)",legal,2025,north_america,"This is the body text of document D148 in department legal for region north_america and year 2025."
D149,"Document Title D149 (finance)",finance,2023,latin_america,"This is the body text of document D149 in department finance for region latin_america and year 2023."
D150,"Document Title D150 (finance)",finance,2020,asia_pacific,"This is the body text of document D150 in department finance for region asia_pacific and year 2020."
D151,"Document Title D151 (sales)",sales,2021,europe,"This is the body text of document D151 in department sales for region europe and year 2021."
D152,"Document Title D152 (legal)",legal,2021,europe,"This is the body text of document D152 in department legal for region europe and year 2021."
D153,"Document Title D153 (hr)",hr,2021,latin_america,"This is the body text of document D153 in department hr for region latin_america and year 2021."
D154,"Document Title D154 (legal)",legal,2022,europe,"This is the body text of document D154 in department legal for region europe and year 2022."
D155,"Document Title D155 (marketing)",marketing,2020,europe,"This is the body text of document D155 in department marketing for region europe and year 2020."
D156,"Document Title D156 (hr)",hr,2025,latin_america,"This is the body text of document D156 in department hr for region latin_america and year 2025."
D157,"Document Title D157 (hr)",hr,2026,latin_america,"This is the body text of document D157 in department hr for region latin_america and year 2026."
D158,"Document Title D158 (engineering)",engineering,2021,north_america,"This is the body text of document D158 in department engineering for region north_america and year 2021."
D159,"Document Title D159 (finance)",finance,2026,latin_america,"This is the body text of document D159 in department finance for region latin_america and year 2026."
D160,"Document Title D160 (legal)",legal,2022,europe,"This is the body text of document D160 in department legal for region europe and year 2022."
D161,"Document Title D161 (marketing)",marketing,2024,asia_pacific,"This is the body text of document D161 in department marketing for region asia_pacific and year 2024."
D162,"Document Title D162 (hr)",hr,2020,latin_america,"This is the body text of document D162 in department hr for region latin_america and year 2020."
D163,"Document Title D163 (marketing)",marketing,2020,north_america,"This is the body text of document D163 in department marketing for region north_america and year 2020."
D164,"Document Title D164 (marketing)",marketing,2021,north_america,"This is the body text of document D164 in department marketing for region north_america and year 2021."
D165,"Document Title D165 (sales)",sales,2025,asia_pacific,"This is the body text of document D165 in department sales for region asia_pacific and year 2025."
D166,"Document Title D166 (sales)",sales,2022,europe,"This is the body text of document D166 in department sales for region europe and year 2022."
D167,"Document Title D167 (finance)",finance,2026,latin_america,"This is the body text of document D167 in department finance for region latin_america and year 2026."
D168,"Document Title D168 (marketing)",marketing,2020,europe,"This is the body text of document D168 in department marketing for region europe and year 2020."
D169,"Document Title D169 (engineering)",engineering,2026,europe,"This is the body text of document D169 in department engineering for region europe and year 2026."
D170,"Document Title D170 (engineering)",engineering,2024,latin_america,"This is the body text of document D170 in department engineering for region latin_america and year 2024."
D171,"Document Title D171 (sales)",sales,2020,asia_pacific,"This is the body text of document D171 in department sales for region asia_pacific and year 2020."
D172,"Document Title D172 (sales)",sales,2021,north_america,"This is the body text of document D172 in department sales for region north_america and year 2021."
D173,"Document Title D173 (legal)",legal,2024,latin_america,"This is the body text of document D173 in department legal for region latin_america and year 2024."
D174,"Document Title D174 (marketing)",marketing,2026,europe,"This is the body text of document D174 in department marketing for region europe and year 2026."
D175,"Document Title D175 (finance)",finance,2022,asia_pacific,"This is the body text of document D175 in department finance for region asia_pacific and year 2022."
D176,"Document Title D176 (engineering)",engineering,2021,europe,"This is the body text of document D176 in department engineering for region europe and year 2021."
D177,"Document Title D177 (legal)",legal,2023,north_america,"This is the body text of document D177 in department legal for region north_america and year 2023."
D178,"Document Title D178 (legal)",legal,2025,europe,"This is the body text of document D178 in department legal for region europe and year 2025."
D179,"Document Title D179 (sales)",sales,2026,latin_america,"This is the body text of document D179 in department sales for region latin_america and year 2026."
D180,"Document Title D180 (sales)",sales,2024,europe,"This is the body text of document D180 in department sales for region europe and year 2024."
D181,"Document Title D181 (legal)",legal,2024,latin_america,"This is the body text of document D181 in department legal for region latin_america and year 2024."
D182,"Document Title D182 (legal)",legal,2024,asia_pacific,"This is the body text of document D182 in department legal for region asia_pacific and year 2024."
D183,"Document Title D183 (engineering)",engineering,2022,asia_pacific,"This is the body text of document D183 in department engineering for region asia_pacific and year 2022."
D184,"Document Title D184 (finance)",finance,2023,latin_america,"This is the body text of document D184 in department finance for region latin_america and year 2023."
D185,"Document Title D185 (finance)",finance,2020,north_america,"This is the body text of document D185 in department finance for region north_america and year 2020."
D186,"Document Title D186 (sales)",sales,2022,latin_america,"This is the body text of document D186 in department sales for region latin_america and year 2022."
D187,"Document Title D187 (legal)",legal,2025,asia_pacific,"This is the body text of document D187 in department legal for region asia_pacific and year 2025."
D188,"Document Title D188 (sales)",sales,2021,asia_pacific,"This is the body text of document D188 in department sales for region asia_pacific and year 2021."
D189,"Document Title D189 (marketing)",marketing,2021,latin_america,"This is the body text of document D189 in department marketing for region latin_america and year 2021."
D190,"Document Title D190 (hr)",hr,2022,asia_pacific,"This is the body text of document D190 in department hr for region asia_pacific and year 2022."
D191,"Document Title D191 (engineering)",engineering,2024,europe,"This is the body text of document D191 in department engineering for region europe and year 2024."
D192,"Document Title D192 (marketing)",marketing,2025,asia_pacific,"This is the body text of document D192 in department marketing for region asia_pacific and year 2025."
D193,"Document Title D193 (engineering)",engineering,2025,latin_america,"This is the body text of document D193 in department engineering for region latin_america and year 2025."
D194,"Document Title D194 (engineering)",engineering,2020,asia_pacific,"This is the body text of document D194 in department engineering for region asia_pacific and year 2020."
D195,"Document Title D195 (engineering)",engineering,2025,latin_america,"This is the body text of document D195 in department engineering for region latin_america and year 2025."
D196,"Document Title D196 (legal)",legal,2022,europe,"This is the body text of document D196 in department legal for region europe and year 2022."
D197,"Document Title D197 (hr)",hr,2022,latin_america,"This is the body text of document D197 in department hr for region latin_america and year 2022."
D198,"Document Title D198 (legal)",legal,2025,europe,"This is the body text of document D198 in department legal for region europe and year 2025."
D199,"Document Title D199 (engineering)",engineering,2020,asia_pacific,"This is the body text of document D199 in department engineering for region asia_pacific and year 2020."
D200,"Document Title D200 (engineering)",engineering,2024,asia_pacific,"This is the body text of document D200 in department engineering for region asia_pacific and year 2024."
D201,"Document Title D201 (engineering)",engineering,2023,asia_pacific,"This is the body text of document D201 in department engineering for region asia_pacific and year 2023."
D202,"Document Title D202 (marketing)",marketing,2021,north_america,"This is the body text of document D202 in department marketing for region north_america and year 2021."
D203,"Document Title D203 (sales)",sales,2026,europe,"This is the body text of document D203 in department sales for region europe and year 2026."
D204,"Document Title D204 (hr)",hr,2024,europe,"This is the body text of document D204 in department hr for region europe and year 2024."
D205,"Document Title D205 (hr)",hr,2025,europe,"This is the body text of document D205 in department hr for region europe and year 2025."
D206,"Document Title D206 (hr)",hr,2024,north_america,"This is the body text of document D206 in department hr for region north_america and year 2024."
D207,"Document Title D207 (finance)",finance,2026,europe,"This is the body text of document D207 in department finance for region europe and year 2026."
D208,"Document Title D208 (finance)",finance,2024,latin_america,"This is the body text of document D208 in department finance for region latin_america and year 2024."
D209,"Document Title D209 (marketing)",marketing,2026,latin_america,"This is the body text of document D209 in department marketing for region latin_america and year 2026."
D210,"Document Title D210 (engineering)",engineering,2020,latin_america,"This is the body text of document D210 in department engineering for region latin_america and year 2020."
D211,"Document Title D211 (legal)",legal,2025,north_america,"This is the body text of document D211 in department legal for region north_america and year 2025."
D212,"Document Title D212 (sales)",sales,2020,north_america,"This is the body text of document D212 in department sales for region north_america and year 2020."
D213,"Document Title D213 (legal)",legal,2025,europe,"This is the body text of document D213 in department legal for region europe and year 2025."
D214,"Document Title D214 (sales)",sales,2021,asia_pacific,"This is the body text of document D214 in department sales for region asia_pacific and year 2021."
D215,"Document Title D215 (hr)",hr,2021,asia_pacific,"This is the body text of document D215 in department hr for region asia_pacific and year 2021."
D216,"Document Title D216 (engineering)",engineering,2021,asia_pacific,"This is the body text of document D216 in department engineering for region asia_pacific and year 2021."
D217,"Document Title D217 (marketing)",marketing,2021,north_america,"This is the body text of document D217 in department marketing for region north_america and year 2021."
D218,"Document Title D218 (finance)",finance,2025,north_america,"This is the body text of document D218 in department finance for region north_america and year 2025."
D219,"Document Title D219 (engineering)",engineering,2022,north_america,"This is the body text of document D219 in department engineering for region north_america and year 2022."
D220,"Document Title D220 (finance)",finance,2023,latin_america,"This is the body text of document D220 in department finance for region latin_america and year 2023."
D221,"Document Title D221 (sales)",sales,2021,europe,"This is the body text of document D221 in department sales for region europe and year 2021."
D222,"Document Title D222 (marketing)",marketing,2026,latin_america,"This is the body text of document D222 in department marketing for region latin_america and year 2026."
D223,"Document Title D223 (legal)",legal,2020,north_america,"This is the body text of document D223 in department legal for region north_america and year 2020."
D224,"Document Title D224 (legal)",legal,2024,north_america,"This is the body text of document D224 in department legal for region north_america and year 2024."
D225,"Document Title D225 (finance)",finance,2023,latin_america,"This is the body text of document D225 in department finance for region latin_america and year 2023."
D226,"Document Title D226 (sales)",sales,2026,latin_america,"This is the body text of document D226 in department sales for region latin_america and year 2026."
D227,"Document Title D227 (legal)",legal,2022,europe,"This is the body text of document D227 in department legal for region europe and year 2022."
D228,"Document Title D228 (sales)",sales,2023,europe,"This is the body text of document D228 in department sales for region europe and year 2023."
D229,"Document Title D229 (finance)",finance,2024,latin_america,"This is the body text of document D229 in department finance for region latin_america and year 2024."
D230,"Document Title D230 (hr)",hr,2020,latin_america,"This is the body text of document D230 in department hr for region latin_america and year 2020."
D231,"Document Title D231 (hr)",hr,2024,latin_america,"This is the body text of document D231 in department hr for region latin_america and year 2024."
D232,"Document Title D232 (engineering)",engineering,2020,north_america,"This is the body text of document D232 in department engineering for region north_america and year 2020."
D233,"Document Title D233 (marketing)",marketing,2020,latin_america,"This is the body text of document D233 in department marketing for region latin_america and year 2020."
D234,"Document Title D234 (sales)",sales,2021,asia_pacific,"This is the body text of document D234 in department sales for region asia_pacific and year 2021."
D235,"Document Title D235 (legal)",legal,2022,north_america,"This is the body text of document D235 in department legal for region north_america and year 2022."
D236,"Document Title D236 (finance)",finance,2021,asia_pacific,"This is the body text of document D236 in department finance for region asia_pacific and year 2021."
D237,"Document Title D237 (engineering)",engineering,2020,north_america,"This is the body text of document D237 in department engineering for region north_america and year 2020."
D238,"Document Title D238 (finance)",finance,2025,north_america,"This is the body text of document D238 in department finance for region north_america and year 2025."
D239,"Document Title D239 (engineering)",engineering,2023,europe,"This is the body text of document D239 in department engineering for region europe and year 2023."
D240,"Document Title D240 (sales)",sales,2025,north_america,"This is the body text of document D240 in department sales for region north_america and year 2025."
D241,"Document Title D241 (hr)",hr,2024,europe,"This is the body text of document D241 in department hr for region europe and year 2024."
D242,"Document Title D242 (marketing)",marketing,2020,latin_america,"This is the body text of document D242 in department marketing for region latin_america and year 2020."
D243,"Document Title D243 (sales)",sales,2021,north_america,"This is the body text of document D243 in department sales for region north_america and year 2021."
D244,"Document Title D244 (finance)",finance,2021,latin_america,"This is the body text of document D244 in department finance for region latin_america and year 2021."
D245,"Document Title D245 (engineering)",engineering,2020,asia_pacific,"This is the body text of document D245 in department engineering for region asia_pacific and year 2020."
D246,"Document Title D246 (engineering)",engineering,2023,latin_america,"This is the body text of document D246 in department engineering for region latin_america and year 2023."
D247,"Document Title D247 (hr)",hr,2026,north_america,"This is the body text of document D247 in department hr for region north_america and year 2026."
D248,"Document Title D248 (engineering)",engineering,2021,europe,"This is the body text of document D248 in department engineering for region europe and year 2021."
D249,"Document Title D249 (sales)",sales,2022,europe,"This is the body text of document D249 in department sales for region europe and year 2022."
D250,"Document Title D250 (hr)",hr,2024,latin_america,"This is the body text of document D250 in department hr for region latin_america and year 2024."
D251,"Document Title D251 (legal)",legal,2020,latin_america,"This is the body text of document D251 in department legal for region latin_america and year 2020."
D252,"Document Title D252 (hr)",hr,2021,north_america,"This is the body text of document D252 in department hr for region north_america and year 2021."
